Precision,Recall,F1
1.0,1.0,1.0
1.0,0.7741935483870968,0.8727272727272727
1.0,0.8571428571428571,0.923076923076923
0.5769230769230769,0.7142857142857143,0.6382978723404256
1.0,0.9615384615384616,0.9803921568627451
1.0,0.8636363636363636,0.9268292682926829
0.7692307692307693,1.0,0.8695652173913044
1.0,1.0,1.0
1.0,0.625,0.7692307692307693
0.7391304347826086,1.0,0.85
1.0,0.7142857142857143,0.8333333333333333
1.0,0.7307692307692307,0.8444444444444443
1.0,0.92,0.9583333333333334
0.8214285714285714,0.8846153846153846,0.8518518518518519
1.0,1.0,1.0
1.0,0.7777777777777778,0.8750000000000001
0.7741935483870968,0.96,0.8571428571428571
1.0,0.9523809523809523,0.975609756097561
0.8846153846153846,0.9583333333333334,0.9199999999999999
1.0,0.7,0.8235294117647058
1.0,0.9565217391304348,0.9777777777777777
0.46875,0.9375,0.625
1.0,0.7058823529411765,0.8275862068965517
1.0,0.92,0.9583333333333334
1.0,0.7368421052631579,0.8484848484848484
0.9333333333333333,0.7,0.8
1.0,0.8,0.888888888888889
1.0,0.7916666666666666,0.8837209302325582
1.0,1.0,1.0
1.0,0.8717948717948718,0.9315068493150686
